도로형태_대분류,도로형태,가해자차종,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,기타단일로,건설기계,1273,33,396,1429,109
단일로,기타단일로,농기계,227,33,92,143,30
단일로,기타단일로,기타,103,2,29,69,15
단일로,기타단일로,불명,2011,0,295,1422,517
교차로,교차로내,승용차,49461,323,16386,59515,4048
교차로,교차로내,승합차,3680,43,1360,4437,389
교차로,교차로내,화물차,8432,144,3246,8861,634
교차로,교차로내,특수차,300,8,113,302,21
교차로,교차로내,이륜차,6542,123,2099,5507,1323
교차로,교차로내,사륜오토바이(ATV),100,6,29,80,8
교차로,교차로내,원동기장치자전거,733,18,222,590,135
교차로,교차로내,자전거,1479,19,378,816,356
교차로,교차로내,개인형이동수단(PM),119,2,39,64,26
교차로,교차로내,건설기계,597,23,257,609,27
교차로,교차로내,농기계,123,8,47,89,9
교차로,교차로내,기타,46,0,15,34,9
교차로,교차로내,불명,649,0,88,473,174
교차로,교차로횡단보도내,승용차,5271,82,2315,3265,164
교차로,교차로횡단보도내,승합차,494,20,241,276,24
교차로,교차로횡단보도내,화물차,926,35,480,467,21
교차로,교차로횡단보도내,특수차,28,2,19,8,2
교차로,교차로횡단보도내,이륜차,727,9,321,459,78
교차로,교차로횡단보도내,사륜오토바이(ATV),2,0,0,1,1
교차로,교차로횡단보도내,원동기장치자전거,84,1,35,49,8
교차로,교차로횡단보도내,자전거,352,5,103,194,79
교차로,교차로횡단보도내,개인형이동수단(PM),27,0,8,13,8
교차로,교차로횡단보도내,건설기계,41,7,25,11,0
교차로,교차로횡단보도내,기타,3,0,0,1,2
교차로,교차로횡단보도내,불명,247,0,24,157,73
교차로,교차로부근,승용차,22969,149,6073,27981,1887
교차로,교차로부근,승합차,2019,30,634,2487,211
교차로,교차로부근,화물차,4219,73,1264,4846,309
교차로,교차로부근,특수차,176,0,47,205,21
교차로,교차로부근,이륜차,2552,39,674,2016,602
교차로,교차로부근,사륜오토바이(ATV),31,2,11,21,2
교차로,교차로부근,원동기장치자전거,273,3,72,206,67
교차로,교차로부근,자전거,653,13,166,350,173
교차로,교차로부근,개인형이동수단(PM),45,1,14,23,11
교차로,교차로부근,건설기계,421,11,113,501,17
교차로,교차로부근,농기계,46,6,16,33,4
교차로,교차로부근,기타,21,0,7,11,4
교차로,교차로부근,불명,537,0,82,384,130
철길건널목,철길건널목,승용차,3,2,1,1,0
철길건널목,철길건널목,승합차,1,0,2,4,0
철길건널목,철길건널목,화물차,3,0,4,0,0
철길건널목,철길건널목,이륜차,1,0,1,0,0
기타,기타,승용차,6333,55,1633,6468,552
기타,기타,승합차,708,3,236,692,71
기타,기타,화물차,1305,35,405,1215,89
기타,기타,특수차,50,0,16,47,3
기타,기타,이륜차,628,13,192,422,131
기타,기타,사륜오토바이(ATV),13,1,6,8,1
기타,기타,원동기장치자전거,89,3,26,59,10
기타,기타,자전거,576,4,152,330,140
기타,기타,개인형이동수단(PM),59,0,14,33,15
기타,기타,건설기계,107,3,31,102,8
기타,기타,농기계,39,9,17,17,4
기타,기타,기타,27,0,7,15,5
기타,기타,불명,301,0,39,196,84
불명,불명,승용차,33,0,10,29,1
불명,불명,승합차,4,0,1,6,0
불명,불명,화물차,9,0,6,9,0
불명,불명,이륜차,6,0,4,2,1
불명,불명,원동기장치자전거,1,0,0,1,0
불명,불명,자전거,2,0,1,1,0
불명,불명,건설기계,2,1,0,1,0
불명,불명,기타,1,0,1,0,0
불명,불명,불명,5,0,0,2,3
